,Week,WeekRange,Joy,Analytical,Sadness,Confident,Tentative,Fear,Anger
0,11,Mar09 - Mar15,0,60,20,20,0,0,20
1,12,Mar16 - Mar22,0,30,20,0,0,0,10
2,13,Mar23 - Mar29,7.142857143,57.14285714,21.42857143,0,10.71428571,0,0
3,14,Mar30 - Apr05,10.41666667,58.33333333,12.5,10.41666667,6.25,2.083333333,0
4,15,Apr06 - Apr12,10.73446328,55.36723164,16.94915254,8.474576271,5.084745763,2.259887006,1.129943503
5,16,Apr13 - Apr19,12.56931608,31.4232902,11.64510166,4.066543438,16.08133087,0.554528651,1.478743068
6,17,Apr20 - Apr26,11.11111111,24.07407407,9.259259259,0.925925926,5.555555556,0.925925926,0.925925926
7,18,Apr27 - May03,14.93506494,26.2987013,11.36363636,2.922077922,7.467532468,0.974025974,1.298701299
8,19,May04 - May10,13.51805206,29.30310663,16.03694374,7.136859782,6.129303107,2.434928631,1.763224181
9,20,May11 - May17,17.98365123,30.79019074,15.25885559,5.313351499,7.901907357,2.316076294,0.953678474
10,21,May18 - May24,12.74060495,31.53070577,15.76535289,6.691109074,6.966086159,2.383134739,1.649862511
11,22,May25 - May31,16.4845173,26.6848816,17.03096539,5.464480874,6.557377049,1.275045537,1.821493625
12,23,Jun01 - Jun07,11.92842942,31.61033797,15.00994036,5.467196819,7.554671968,1.789264414,2.485089463
13,24,Jun08 - Jun14,12.82051282,28.51282051,14.66666667,5.333333333,4.923076923,2.153846154,2.153846154
14,25,Jun15 - Jun21,15.30139104,27.51159196,15.61051005,5.409582689,5.7187017,2.627511592,2.163833076
